date;close;tradecount;close
14/12/2019 00:00;7,06405E+11;276819;7258,48
13/12/2019 00:00;7,25848E+11;252135;7198,08
12/12/2019 00:00;7,19808E+11;331414;7210
11/12/2019 00:00;7,21E+11;268269;7224,13
10/12/2019 00:00;7,22413E+11;439637;7338,64
09/12/2019 00:00;7,33864E+11;359648;7510,11
08/12/2019 00:00;7,51011E+11;257514;7488,21
07/12/2019 00:00;7,48821E+11;263592;7527,47
06/12/2019 00:00;7,52747E+11;367854;7389
05/12/2019 00:00;7,389E+11;430359;7194,32
04/12/2019 00:00;7,19432E+11;516158;7292,71
03/12/2019 00:00;7,29271E+11;265391;7294,28
02/12/2019 00:00;7,29428E+11;326881;7390,89
01/12/2019 00:00;7,39089E+11;420573;7541,89
30/11/2019 00:00;7,54189E+11;346506;7739,68
29/11/2019 00:00;7,73968E+11;412929;7419,49
28/11/2019 00:00;7,41949E+11;388953;7508,52
27/11/2019 00:00;7,50852E+11;582055;7156,14
26/11/2019 00:00;7,15614E+11;433933;7109,57
25/11/2019 00:00;7,10957E+11;679721;6903,28
24/11/2019 00:00;6,90328E+11;446014;7311,57
23/11/2019 00:00;7,31157E+11;414045;7268,23
22/11/2019 00:00;7,26823E+11;817604;7627,74
21/11/2019 00:00;7,62774E+11;430062;8098,01
20/11/2019 00:00;8,09801E+11;288843;8133,64
19/11/2019 00:00;8,13364E+11;357382;8187,17
18/11/2019 00:00;8,18717E+11;366263;8502,4
17/11/2019 00:00;8,5024E+11;259594;8491,02
16/11/2019 00:00;8,49102E+11;231473;8471,73
15/11/2019 00:00;8,47173E+11;423919;8646,68
14/11/2019 00:00;8,64668E+11;337019;8777,12
13/11/2019 00:00;8,77712E+11;281593;8821,94
12/11/2019 00:00;8,82194E+11;406765;8733,27
11/11/2019 00:00;8,73327E+11;415982;9039,47
10/11/2019 00:00;9,03947E+11;375946;8809,41
09/11/2019 00:00;8,80941E+11;326730;8773,73
08/11/2019 00:00;8,77373E+11;567331;9216,2
07/11/2019 00:00;9,2162E+11;401984;9339,05
06/11/2019 00:00;9,33905E+11;402997;9308,66
05/11/2019 00:00;9,30866E+11;492885;9393,35
04/11/2019 00:00;9,39335E+11;453749;9194,71
03/11/2019 00:00;9,19471E+11;326024;9289,52
02/11/2019 00:00;9,28952E+11;325421;9231,61
01/11/2019 00:00;9,23161E+11;478002;9140,85
31/10/2019 00:00;9,14085E+11;490183;9154,72
30/10/2019 00:00;9,15472E+11;524035;9407,62
29/10/2019 00:00;9,40762E+11;559589;9205,14
28/10/2019 00:00;9,20514E+11;681128;9529,93
27/10/2019 00:00;9,52993E+11;799978;9230
26/10/2019 00:00;9,23E+11;1185369;8655,02
25/10/2019 00:00;8,65502E+11;775418;7412,41
24/10/2019 00:00;7,41241E+11;403778;7466,62
23/10/2019 00:00;7,46662E+11;610241;8020
22/10/2019 00:00;8,02E+11;384699;8197,27
21/10/2019 00:00;8,19727E+11;367169;8223,35
20/10/2019 00:00;8,22335E+11;396091;7948,01
19/10/2019 00:00;7,94801E+11;349746;7947,01
18/10/2019 00:00;7,94701E+11;399783;8070,58
17/10/2019 00:00;8,07058E+11;356490;7991,74
16/10/2019 00:00;7,99174E+11;421026;8159,29
15/10/2019 00:00;8,15929E+11;399447;8348,2
14/10/2019 00:00;8,3482E+11;345679;8275,01
13/10/2019 00:00;8,27501E+11;320051;8300,09
12/10/2019 00:00;8,30009E+11;280633;8258,5
11/10/2019 00:00;8,2585E+11;471818;8558,03
10/10/2019 00:00;8,55803E+11;406932;8560,74
09/10/2019 00:00;8,56074E+11;537805;8168,39
08/10/2019 00:00;8,16839E+11;395685;8190,09
07/10/2019 00:00;8,19009E+11;482605;7854,25
06/10/2019 00:00;7,85425E+11;325795;8126,19
05/10/2019 00:00;8,12619E+11;237769;8137,13
04/10/2019 00:00;8,13713E+11;259012;8223,96
03/10/2019 00:00;8,22396E+11;281307;8359,94
02/10/2019 00:00;8,35994E+11;261430;8292,44
01/10/2019 00:00;8,29244E+11;387653;8289,34
30/09/2019 00:00;8,28934E+11;455556;8043,82
29/09/2019 00:00;8,04382E+11;322501;8198,81
28/09/2019 00:00;8,19881E+11;319113;8177,91
27/09/2019 00:00;8,17791E+11;369518;8063,73
26/09/2019 00:00;8,06373E+11;522062;8430,05
25/09/2019 00:00;8,43005E+11;544806;8493,14
24/09/2019 00:00;8,49314E+11;748712;9702,25
23/09/2019 00:00;9,70225E+11;332817;10028,87
22/09/2019 00:00;1,00289E+12;253713;9986,39
21/09/2019 00:00;9,98639E+11;245439;10168,59
20/09/2019 00:00;1,01686E+12;267032;10244,29
19/09/2019 00:00;1,02443E+12;429727;10156,99
18/09/2019 00:00;1,0157E+12;299466;10187,82
17/09/2019 00:00;1,01878E+12;287483;10251,31
16/09/2019 00:00;1,02513E+12;274368;10302,01
15/09/2019 00:00;1,0302E+12;194733;10335,02
14/09/2019 00:00;1,0335E+12;253929;10342,06
13/09/2019 00:00;1,03421E+12;304947;10415,01
12/09/2019 00:00;1,0415E+12;317881;10158,33
11/09/2019 00:00;1,01583E+12;309120;10098,15
10/09/2019 00:00;1,00982E+12;286763;10303,12
09/09/2019 00:00;1,03031E+12;330459;10381,18
08/09/2019 00:00;1,03812E+12;237752;10455,88
